Comment,Designator,Footprint,LCSC Part Number
"10nF","C1,C19,C20","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1710"
"1uF","C10","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"100pF","C12,C13","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1790"
"0.1uF","C16,C21","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"10uF","C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"10uF","C4,C5","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","C7171"
"330p-560p","C6,C7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C51207"
"330nF","C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1740"
"100nF","C9,C11,C14,C15,C17,C18","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1N4148","D1","Diode_SMD:D_SOD-323_HandSoldering","C2128"
"LED_MIDI_IN","D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2293"
"LED_MIDI_OUT","D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"LED_CLIP","D5","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C434431"
"1N5819/SS14","D6,D8,D9,D10","Diode_SMD:D_SMA-SMB_Universal_Handsoldering","C2480"
"LED_POWER","D7","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C434432"
"Ferrite_Bead","FB1,FB2,FB3,FB4,FB5,FB6","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C76810"
"74LVC1G07QSE-7","IC1,IC2","greatscott:SOT25","C507244"
"220","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17557"
"100k","R11,R12,R13,R14","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C149504"
"33k","R15,R16","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17633"
"100","R17,R18","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"470","R2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17710"
"10k","R20,R21,R22,R23,R27","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"5.1k","R24,R25","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"4.7k","R26","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"33","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17634"
"2k","R5,R6,R7,R8,R19","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17604"
"10","R9,R10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17415"
"H11L1","U1","Package_DIP:SMDIP-6_W9.53mm_Clearance8mm","C20082"
"CY7C65213-28PVXI","U10","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","C134181"
"24LC10","U3","Package_SO:SOIC-8_5.275x5.275mm_P1.27mm","C1348777"
"74HC14","U5","Package_SO:SO-14_3.9x8.65mm_P1.27mm","C6820"
"LM1117-5.0","U6","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C126028"
"LM1117-3.3","U7","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C126027"
"L79L05_SO8","U9","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C2802525"